id;Type of study;Gender;Age;Study Year;Finance;Housing;Sport;Age of first glass;Age drunk for the first time;have you ever drink alcool;Which kind of alcool do you drink most often;Frequency;When you drink, how many glasses;how often;when: family events;when:students party;when:bar-disco;when:home;when:sport or culture events;when:outside(beach, etc…);withwho:Alone;withwho:friends;withwho:family;why:fun pleasure;why:todo like everybody;why:for the effects;why:to get confidence;why:because i need it;due to alcool: Have you ever forgotten a part of your party;due to alcool: fallen, vomit, ethylic coma ;due to alcool: have non-protected sexual intercourse;due to alcool: being harrassed or stolen;due to alcool: have a car accident;after having drink: drive a car;due to alcool:been admitted to an ER;Do you agree: One cannot get drunk with cider;Do you agree: Drinking Champagne is safe;Do you agree: No danger in being drunk once a week;Do you agree: we have more fun without alcool;Study level;Frequency of being drunk;Frequency Alcool consumption;origin
562;Human sciences;Male;19;1;Good;Appartement seul;Yes;14;16;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;4;1 fois par month or moins;No;No;Yes;Yes;No;Yes;No;Yes;No;Yes;No;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
563;Arts and communication;Female;20;3;Good;Colocation;Yes;13;15;Yes;Biere;2 a 3 fois par semaine;4;2 a 4 fois par mois;No;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;Yes;Licence;15 days or +;2/week or +;France hors Bretagne
564;Autre;Female;18;1;Good;Domicile parental;Yes;14;16;Yes;Beer;2 to 4 times per month;1;1 time per month or less;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Brittany
565;Human sciences;Female;21;3;Average;Colocation;No;14;14;Yes;Biere;2 a 4 fois par mois;2;1 fois par month or moins;No;No;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
566;Arts and communication;Male;20;1;Average;Cite Universitaire;No;17;17;Yes;Beer;2 to 4 times per month;3;1 time per month or less;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;;Licence;once a month or -;4/month or -;Brittany
567;Arts and communication;Female;23;3;Bad;Domicile parental;Yes;13;15;Yes;Vin;2 a 4 fois par mois;1;1 fois par month or moins;Yes;No;No;Yes;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Yes;No;Licence;once a month or -;4/month or -;Bretagne
568;Arts and communication;Female;20;2;Good;Appartement seul;Yes;14;15;Yes;Vin;2 a 3 fois par semaine;3;2 a 4 fois par mois;No;Yes;No;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;Licence;15 days or +;2/week or +;Bretagne
569;Human sciences;Female;20;3;Average;Appartement seul;No;15;15;Yes;Biere;2 a 4 fois par mois;1;1 fois par month or moins;No;No;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;France hors Bretagne
570;Arts and communication;Female;19;1;Good;Domicile parental;Yes;16;;Yes;Cidre;1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
571;Human sciences;Female;18;1;Good;Colocation;No;14;14;Yes;Vin;2 a 4 fois par mois;6;2 a 4 fois par mois;No;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;Bretagne
572;Foreign languages;Male;19;2;Good;Cite Universitaire;No;14;14;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;6;2 a 4 fois par mois;No;No;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;15 days or +;4/month or -;Bretagne
573;Arts and communication;Female;18;1;Good;Appartement seul;No;;17;Yes;Biere;2 a 4 fois par mois;4;Jamais;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
574;Arts and communication;Male;18;1;Bad;Appartement seul;No;13;14;Yes;Vin;2 a 4 fois par mois;5;2 a 4 fois par mois;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;Licence;15 days or +;4/month or -;France hors Bretagne
575;Pharmacy;Male;21;2;Average;Colocation;Yes;6;14;Yes;Biere;Au moins 4 fois par semaine;28;Au moins 4 fois par semaine;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;ne se proNoce pas;Licence;15 days or +;2/week or +;Bretagne
576;Arts and communication;Female;21;4;Average;Appartement seul;No;14;15;Yes;Vin;2 a 3 fois par semaine;6;2 a 4 fois par mois;No;No;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;Yes;No;No;No;No;Master;15 days or +;2/week or +;France hors Bretagne
577;Foreign languages;Male;20;2;Good;Domicile parental;No;14;16;Yes;Cider;2 to 4 times per month;2;Never;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;;Licence;once a month or -;4/month or -;Brittany
578;Arts and communication;Male;19;1;Good;Appartement seul;Yes;16;16;Yes;Biere;2 a 4 fois par mois;10;2 a 4 fois par mois;Yes;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;Bretagne
579;Human sciences;Male;25;2;Average;Cite Universitaire;No;16;16;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;5;2 a 4 fois par mois;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;France hors Bretagne
580;Arts and communication;Female;21;2;Average;Cite Universitaire;Yes;13;14;Yes;Biere;2 a 3 fois par semaine;10;2 a 4 fois par mois;No;No;Yes;Yes;Yes;No;No;Yes;No;Yes;No;No;No;Yes;Yes;No;Yes;No;No;No;No;No;No;Yes;ne se proNoce pas;Licence;15 days or +;2/week or +;France hors Bretagne
581;Social Sciences;Female;21;4;Good;Cite Universitaire;No;14;16;Yes;Vin;2 a 3 fois par semaine;9;2 a 4 fois par mois;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Master;15 days or +;2/week or +;Etranger
582;Medical school;Female;19;2;Good;Chambre chez l_habitant;Yes;18;19;Yes;Champagne;1 fois par month or moins;0;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Yes;Yes;Licence;once a month or -;4/month or -;Bretagne
583;Foreign languages;Female;21;2;Good;Colocation;Yes;15;17;Yes;Biere;1 fois par month or moins;0;1 fois par month or moins;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Licence;once a month or -;4/month or -;France hors Bretagne
584;Medical school;Female;19;1;Good;Colocation;No;15;16;Yes;Vin;2 a 4 fois par mois;1;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;Yes;No;No;No;Licence;once a month or -;4/month or -;Bretagne
585;Arts and communication;Female;24;6;Bad;Cite Universitaire;No;16;16;Yes;Vin;2 a 4 fois par mois;1;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Doctorat;once a month or -;4/month or -;Bretagne
586;Arts and communication;Female;25;4;Good;Colocation;Yes;7;15;Yes;Beer;2 to 4 times per month;2;2 to 4 times per month;No;No;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;;Master;15 days or +;4/month or -;France not Brittany
587;Pharmacy;Male;21;3;Good;Colocation;Yes;14;14;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;20;1 fois par month or moins;No;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
588;Human sciences;Male;23;3;Good;Appartement seul;No;15;15;Yes;Biere;2 a 3 fois par semaine;2;2 a 3 fois par semaine;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Licence;15 days or +;2/week or +;Bretagne
589;Sport;Male;18;1;;Domicile parental;Yes;16;16;Yes;Biere;2 a 4 fois par mois;;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
590;Human sciences;Female;22;3;Average;Colocation;No;15;15;Yes;Vin;2 a 4 fois par mois;2;1 fois par month or moins;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
591;Arts and communication;Female;19;1;Good;Colocation;No;15;;Yes;Biere;2 a 4 fois par mois;1;1 fois par month or moins;Yes;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;Licence;once a month or -;4/month or -;France hors Bretagne
592;Arts and communication;Male;20;3;Good;Cite Universitaire;No;13;16;Yes;Vin;2 a 3 fois par semaine;15;2 a 4 fois par mois;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;Licence;15 days or +;2/week or +;Etranger
593;Arts and communication;Female;18;1;Good;Domicile parental;No;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;Yes;Licence;;;Bretagne
594;Arts and communication;Female;22;4;Good;Colocation;No;15;15;Yes;Biere;2 a 3 fois par semaine;3;2 a 4 fois par mois;No;No;No;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;;No;No;Master;15 days or +;2/week or +;Bretagne
595;Human sciences;Male;22;3;Good;Colocation;No;13;14;Yes;Biere;2 a 4 fois par mois;30;2 a 4 fois par mois;No;Yes;No;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Licence;15 days or +;4/month or -;Bretagne
596;Autre;Female;23;3;Good;Appartement seul;Yes;12;15;Yes;Biere;2 a 3 fois par semaine;10;2 a 4 fois par mois;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;15 days or +;2/week or +;Bretagne
597;Human sciences;Female;29;3;Bad;Appartement seul;Yes;10;14;Yes;Vin;2 a 3 fois par semaine;24;2 a 4 fois par mois;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Licence;15 days or +;2/week or +;Bretagne
598;Social Sciences;Female;18;1;Good;Appartement seul;Yes;;18;Yes;Vin;2 a 4 fois par mois;2;1 fois par month or moins;No;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
599;Foreign languages;Male;19;2;Good;Cite Universitaire;No;14;14;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;6;2 a 4 fois par mois;No;No;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;15 days or +;4/month or -;Bretagne
600;;Female;22;1;Good;Appartement en couple;No;16;17;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 3 fois par semaine;3;2 a 4 fois par mois;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No;No;Licence;15 days or +;2/week or +;Etranger
601;Arts and communication;Male;20;1;Average;Colocation;No;14;14;Yes;Biere;2 a 4 fois par mois;6;2 a 4 fois par mois;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;15 days or +;4/month or -;Bretagne
602;Foreign languages;Female;22;1;Average;Colocation;Yes;17;18;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;4;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
603;Medical school;Female;18;1;Good;Appartement seul;No;14;15;Yes;Biere;1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
604;Human sciences;Female;20;3;Good;Appartement seul;No;16;16;Yes;Vin;2 a 4 fois par mois;3;2 a 4 fois par mois;Yes;No;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;Licence;15 days or +;4/month or -;Bretagne
605;Autre;Female;22;4;Good;Domicile parental;Yes;17;;Yes;Biere;1 fois par month or moins;1;1 fois par month or moins;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Master;once a month or -;4/month or -;Bretagne
606;Pharmacy;Male;20;2;Good;Domicile parental;Yes;14;14;Yes;Alcool fort (vodka, pastis, whisky, liqueur);Au moins 4 fois par semaine;30;2 a 4 fois par mois;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;15 days or +;2/week or +;Bretagne
607;Arts and communication;Female;21;4;Bad;Appartement seul;No;16;;Yes;Biere;2 a 4 fois par mois;1;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;ne se proNoce pas;Master;once a month or -;4/month or -;Bretagne
608;Human sciences;Male;20;1;Average;Colocation;No;13;14;Yes;Biere;2 a 4 fois par mois;30;2 a 4 fois par mois;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Licence;15 days or +;4/month or -;Bretagne
609;Social Sciences;Female;18;1;Average;Appartement en couple;Yes;9;16;Yes;Vin;2 a 4 fois par mois;0;1 fois par month or moins;No;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
610;Medical school;Female;19;1;Good;Domicile parental;No;14;14;Yes;Cocktail (vodka-orange, whisky coca, mojito);1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
611;Foreign languages;Female;22;1;Good;Appartement seul;Yes;13;18;Yes;Biere;1 fois par month or moins;0;1 fois par month or moins;No;No;Yes;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
612;Arts and communication;Female;19;2;Good;Appartement seul;No;14;16;Yes;Biere;2 a 3 fois par semaine;2;1 fois par month or moins;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;Licence;once a month or -;2/week or +;France hors Bretagne
613;Autre;Female;22;3;Average;Domicile parental;Yes;12;17;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;3;1 fois par month or moins;No;No;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
614;Social Sciences;Female;19;1;Good;Domicile parental;Yes;15;15;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;2;2 a 4 fois par mois;No;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;Bretagne
615;Social Sciences;Female;22;4;Good;Colocation;Yes;16;17;Yes;Vin;2 a 3 fois par semaine;4;1 fois par month or moins;No;No;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;Master;once a month or -;2/week or +;Bretagne
616;Foreign languages;Female;28;2;Good;Appartement en couple;No;14;16;Yes;Vin;2 a 4 fois par mois;6;2 a 4 fois par mois;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;Etranger
617;Human sciences;Female;23;4;Average;Appartement seul;Yes;16;21;Yes;Vin;1 fois par month or moins;1;1 fois par month or moins;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Master;once a month or -;4/month or -;France hors Bretagne
618;Social Sciences;Male;18;1;Good;Cite Universitaire;No;13;14;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 3 fois par semaine;4;2 a 4 fois par mois;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;15 days or +;2/week or +;Bretagne
619;Human sciences;Male;20;3;Good;Colocation;Yes;10;15;Yes;Biere;Au moins 4 fois par semaine;4;2 a 3 fois par semaine;Yes;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;No;No;No;Licence;15 days or +;2/week or +;France hors Bretagne
620;Sport;Female;20;1;Average;Domicile parental;Yes;14;14;Yes;Beer;2 to 4 times per month;3;1 time per month or less;No;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Brittany
621;Arts and communication;Female;21;2;Average;Appartement seul;Yes;15;17;Yes;Biere;2 a 4 fois par mois;2;2 a 4 fois par mois;Yes;Yes;Yes;No;No;No;No;Yes;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;Bretagne
622;Medical school;Male;18;1;Good;Domicile parental;No;15;16;Yes;Biere;1 fois par month or moins;0;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
623;Pharmacy;Female;21;3;Good;Appartement seul;Yes;8;16;Yes;Vin;1 fois par month or moins;1;1 fois par month or moins;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
624;Arts and communication;Female;19;1;Good;Colocation;Yes;;18;Yes;Vin;2 a 4 fois par mois;0;1 fois par month or moins;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
625;Medical school;Male;22;5;Good;Appartement seul;Yes;7;18;Yes;Biere;2 a 4 fois par mois;3;1 fois par month or moins;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Master;once a month or -;4/month or -;France hors Bretagne
626;Human sciences;Male;23;3;Good;Appartement seul;Yes;16;16;Yes;Biere;2 a 4 fois par mois;1;1 fois par month or moins;No;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
627;Arts and communication;Female;20;3;Good;Appartement seul;Yes;17;;Yes;Champagne;1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;France hors Bretagne
628;Human sciences;Male;38;5;Bad;Appartement en couple;Yes;14;14;Yes;Cocktail (vodka-orange, whisky coca, mojito);1 fois par month or moins;0;1 fois par month or moins;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;Yes;No;Yes;Yes;No;No;No;ne se proNoce pas;No;Master;once a month or -;4/month or -;France hors Bretagne
629;Social Sciences;Male;27;5;Average;Colocation;No;16;17;Yes;Biere;2 a 3 fois par semaine;5;2 a 4 fois par mois;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Master;15 days or +;2/week or +;France hors Bretagne
630;Arts and communication;Male;19;1;Good;Domicile parental;No;16;18;Yes;Cidre;1 fois par month or moins;0;1 fois par month or moins;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;;Yes;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
631;Pharmacy;Female;19;2;Good;Colocation;Yes;14;17;Yes;Biere;2 a 4 fois par mois;3;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;Yes;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
632;Arts and communication;Male;20;2;Good;Domicile parental;No;15;15;Yes;Biere;2 a 3 fois par semaine;18;2 a 3 fois par semaine;Yes;Yes;Yes;No;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;ne se proNoce pas;No;Licence;15 days or +;2/week or +;Bretagne
633;Medical school;Male;18;1;Good;Domicile parental;Yes;14;15;Yes;Biere;2 a 4 fois par mois;2;1 fois par month or moins;No;Yes;No;No;Yes;No;No;Yes;No;Yes;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;;Licence;once a month or -;4/month or -;Bretagne
634;Arts and communication;Female;20;3;Good;Domicile parental;Yes;15;;Yes;Vin;2 a 4 fois par mois;0;1 fois par month or moins;Yes;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
635;Human sciences;Female;23;3;Average;Appartement en couple;No;17;18;Yes;Biere;1 fois par month or moins;0;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
636;Social Sciences;Male;27;5;Good;Colocation;No;16;16;Yes;Biere;2 a 3 fois par semaine;8;2 a 4 fois par mois;No;No;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;Master;15 days or +;2/week or +;France hors Bretagne
637;Arts and communication;Male;20;2;Good;Cite Universitaire;No;12;15;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;1;2 a 4 fois par mois;No;Yes;Yes;No;No;No;No;Yes;No;Yes;Yes;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;France hors Bretagne
638;Foreign languages;Female;18;1;Average;Domicile parental;No;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;No;Yes;Licence;;;Bretagne
639;Human sciences;Female;20;3;Good;Domicile parental;No;18;18;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;No;Yes;Licence;;;Bretagne
640;Social Sciences;Female;19;1;Average;Colocation;Yes;16;16;Yes;;2 a 4 fois par mois;1;2 a 4 fois par mois;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;ne se proNoce pas;Licence;15 days or +;4/month or -;Bretagne
641;Arts and communication;Female;20;1;Average;Domicile parental;No;17;17;Yes;Biere;1 fois par month or moins;0;2 a 4 fois par mois;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;;No;No;No;Yes;Licence;15 days or +;4/month or -;Bretagne
642;Foreign languages;Female;19;1;Good;Chambre chez l_habitant;Yes;16;17;Yes;Vin;2 a 4 fois par mois;4;1 fois par month or moins;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Etranger
643;Medical school;Male;19;1;Good;Appartement seul;Yes;16;;Yes;Cocktail (vodka-orange, whisky coca, mojito);1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
644;Arts and communication;Male;23;2;Average;Appartement en couple;No;15;16;Yes;Biere;2 a 3 fois par semaine;8;1 fois par month or moins;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;2/week or +;France hors Bretagne
645;Human sciences;Female;21;1;Good;Colocation;Yes;14;14;Yes;Biere;2 a 4 fois par mois;4;2 a 4 fois par mois;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;15 days or +;4/month or -;Bretagne
646;Foreign languages;Female;20;2;Good;Appartement seul;Yes;15;16;Yes;Biere;2 a 4 fois par mois;2;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;Yes;Licence;once a month or -;4/month or -;France hors Bretagne
647;Human sciences;Female;21;3;Good;Appartement seul;Yes;14;15;Yes;Vin;2 a 4 fois par mois;1;1 fois par month or moins;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
648;Arts and communication;Female;22;2;Average;Appartement en couple;No;14;16;Yes;Beer;1 time per month or less;1;Never;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Foreign country
649;Foreign languages;Female;19;1;Good;Domicile parental;No;19;;Yes;Alcool fort (vodka, pastis, whisky, liqueur);1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
650;Sport;Male;18;1;Average;Domicile parental;Yes;15;15;Yes;Biere;2 a 4 fois par mois;1;1 fois par month or moins;No;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
